Distanza in KM,Tariffa in €
307,132
319,126
347,101
365,133
370,105
397,141
420,134
448,134
458,120
467,132
470,154
473,122
509,117
526,132
533,128
544,126
550,102
575,136
582,137
610,127
615,128
640,112
651,107
671,133
687,144
696,94
726,120
735,146
743,121
751,130
763,126
770,151
780,110
792,125
807,107
809,139
817,150
830,134
843,154
851,139
888,150
891,141
934,124
970,146
987,157
988,160
989,157
995,134
1013,166
1020,178
1048,141
1068,174
1072,159
1074,150
1103,156
1146,133
1150,155
1153,176
1155,176
1190,186
1201,182
1205,187
1210,166
1216,147
1216,145
1229,163
1266,164
1278,192
1318,202
1336,187
1341,191
1352,194
1382,179
1395,186
1411,195
1415,202
1427,206
1439,209
1443,219
1475,207
1478,207
1527,214
1546,224
1550,205
1587,222
1594,220
1616,211
1640,224
1656,243
1667,229
1673,221
1715,242
1777,286
1794,239
1813,265
1820,254
1826,260
1890,252
1906,253
1915,293
1921,289
1958,261
1970,274
1970,258
1997,305
